governorate,avg_solar_radiation,avg_peak_sun_hours,avg_temp_max,avg_wind_speed,avg_humidity,hot_days_pct,avg_clearness,avg_temp_penalty,avg_aqi,avg_pm25,avg_pm10,dust_storm_days,avg_pollution_penalty,score_ghi,score_clearness,score_temp,score_wind,score_humidity,score_air,solar_site_score,rank,grade,investment_reco
Alexandria,5.450595308611249,5.450595308611249,27.298325037332006,3.2589547038327527,63.17340343454455,0.003359880537580886,0.9038072797411647,1.61595818815331,2.5945744151319063,25.379003737781982,36.2429204254542,4,3.7757217521154804,18.41441012611018,34.03596152587268,60.35615430727886,35.69158491914642,23.535458579089394,76.24104200449861,38.49,22,D,Not Recommended
Aswan,6.5182261448481835,6.5182261448481835,35.117731458437035,3.1670022399203583,25.66718143354903,0.3641114982578397,0.9797967521154803,4.189737431557989,3.3430811348929814,30.002244263378547,47.68614807988601,1,4.492162767546042,100.0,100.0,0.0,31.268149625648523,100.0,44.77690014123555,69.84,3,B,Recommended
Asyut,6.35735049776008,6.35735049776008,31.71447361871578,2.9967359382777503,34.00113115978099,0.13763066202090593,0.969712518666003,3.0752775012444,3.7788700846192134,36.558191114606146,59.11555787591339,6,5.456845445495271,87.70629873310078,91.24619842118766,26.26894475867961,23.077374349666467,83.00944189941777,26.458126275043156,63.31,7,B,Recommended
Beheira,5.836342297162767,5.836342297162767,29.613657292185167,2.9280052264808365,58.88281483325037,0.04392732702837233,0.933325111996018,2.385897212543554,3.0326032852165254,27.56045287303385,41.38137051142359,6,4.111536834245893,47.89219826679286,59.65945069738192,42.4846505996114,19.771037103506817,32.28275095673908,57.82811110529895,47.33,15,D,Not Recommended
Beni Suef,6.063564870582379,6.063564870582379,30.253006470881036,3.053733200597312,42.78451095072175,0.06421105027376804,0.9505477849676456,2.6231271777003484,3.4716276754604283,33.13640055221503,51.407811374079145,6,4.937798656047785,65.25596021136467,74.60990405665211,37.54966505116274,25.81926609513739,65.10262345680968,39.373332635873815,55.14,13,C,Neutral
Cairo,5.711382155301145,5.711382155301145,29.86205450472872,2.8605550024888,50.93981333997014,0.054131408661025386,0.9221464534594326,2.512831010452962,3.7053260328521653,35.02746500394102,52.30443815540318,3,5.2374589347934295,38.34306710789954,49.95561358999746,40.5673310893591,16.526298586820953,48.47627657158669,29.549615525448544,38.01,23,D,Not Recommended
Dakahlia,5.345077862120458,5.345077862120458,30.37879044300647,2.6474552015928325,57.634451219512194,0.08125933300149328,0.8894534096565456,2.6309270781483325,3.42284718765555,31.80007206616476,47.21266842379045,3,4.748398456943753,10.351039509839138,21.575824497279903,36.57876823084985,6.274988940364167,34.82781004716166,41.42386357692105,22.01,26,D,Not Recommended
Damietta,5.345077862120458,5.345077862120458,24.119337979094077,4.227894474863116,68.37502613240417,0.00012444001991040318,0.8894534096565456,0.7024937779990045,2.3674713787954205,20.824484936711798,30.87116391192969,4,3.1002103036336486,10.351039509839138,21.575824497279903,84.89400578792052,82.3030861023329,12.930826253661394,85.78751896218026,42.42,18,D,Not Recommended
Fayoum,6.017567894474864,6.017567894474864,29.900476605276257,3.2175323544051766,48.787290940766546,0.05263812842210055,0.9549378173220507,2.5036747137879543,3.4716276754604283,33.13640055221503,51.407811374079145,6,4.937798656047785,61.74099014795406,78.42075119218933,40.27075995536641,33.69893486278567,52.864658801846296,39.373332635873815,55.25,12,C,Neutral
Gharbia,5.711382155301145,5.711382155301145,30.37879044300647,2.6474552015928325,57.634451219512194,0.08125933300149328,0.9221464534594326,2.6309270781483325,3.0326032852165254,27.56045287303385,41.38137051142359,6,4.111536834245893,38.34306710789954,49.95561358999746,36.57876823084985,6.274988940364167,34.82781004716166,57.82811110529895,39.94,20,D,Not Recommended
